received_date,application_status,denial_reason,exception_comments,twp_status
2028-11-17,Approved,,,Inactive
2029-11-17,Approved,,,In Progress
2016-05-19,Denied,,,
2029-11-17,Approved,,,Inactive
1930-11-17,Approved,,,In Progress
1930-11-17,Approved,,,Inactive
1930-11-17,Approved,,,Inactive
1930-11-17,Approved,,,Inactive
1930-11-17,Approved,,,Credential Completed
2001-10-19,Denied,,,
2003-12-17,Approved,,,Inactive
2004-12-17,Approved,,,Inactive
2004-12-17,Approved,,,Credential Completed
2004-12-17,Approved,,,In Progress
2004-12-17,Approved,,,Inactive
2005-12-17,Approved,,,Credential Completed
2005-12-17,Approved,,,Inactive
2005-12-17,Approved,,,Inactive
2005-12-17,Approved,,,Inactive
2011-05-20,Denied,,,
2005-12-17,Approved,,,Inactive
2005-12-17,Approved,,,In Progress
2005-12-17,Approved,,,
2006-12-17,Approved,,,Credential Completed
2006-12-17,Approved,,,In Progress
2007-07-19,Denied,,,
2006-12-17,Approved,,,In Progress
2006-12-17,Approved,,,Inactive
2006-12-17,Approved,,,Credential Completed
2006-12-17,Approved,,,Credential Completed
2006-12-17,Approved,,,Inactive
2007-12-17,Approved,,,Inactive
2007-12-17,Approved,,,In Progress
2008-12-17,Approved,,,Inactive
2011-12-17,Approved,,,Credential Completed
2010-02-21,Denied,,,
2011-12-17,Approved,,,In Progress
2012-12-17,Approved,,,Credential Completed
2012-12-17,Approved,,,Credential Completed
2012-12-17,Approved,,,Credential Completed
2013-12-17,Approved,,,In Progress
2013-12-17,Approved,,,Credential Completed
2013-12-17,Approved,,,Inactive
2013-12-17,Approved,,,In Progress
2013-12-17,Approved,,,Inactive
2013-12-17,Approved,,,In Progress
2009-04-20,Denied,,,
2013-12-17,Approved,,,
2013-12-17,Approved,,,Credential Completed
2014-12-17,Approved,,,In Progress
2014-12-17,Approved,,,Credential Completed
2014-12-17,Approved,,,In Progress
2015-12-17,Approved,,,Inactive
2015-12-17,Approved,,,Inactive
1930-01-20,Denied,,,
2004-11-19,Denied,,,
2018-12-17,Approved,,,Inactive
2019-12-17,Approved,,,Inactive
2019-12-17,Approved,,,Inactive
2019-12-17,Approved,,,Credential Completed
2020-12-17,Approved,,,In Progress
2022-12-17,Approved,,,In Progress
2002-01-18,Approved,,,Credential Completed
2024-08-18,Denied,,,
2002-01-18,Approved,,,In Progress
2002-01-18,Approved,,,Inactive
2002-01-18,Approved,,,In Progress
2002-01-18,Approved,,,Credential Completed
2004-01-18,Approved,,,In Progress
2004-01-18,Approved,,,In Progress
2004-01-18,Approved,,,Inactive
2007-01-18,Approved,,,Inactive
2008-01-18,Approved,,,Inactive
2008-01-18,Approved,,,Inactive
2008-01-18,Approved,,,Inactive
2008-01-18,Approved,,,In Progress
2009-01-18,Approved,,,In Progress
2009-01-18,Approved,,,Inactive
2009-01-18,Approved,,,Inactive
2009-01-18,Approved,,,Inactive
2010-01-18,Approved,,,Inactive
2011-01-18,Approved,,,In Progress
2016-01-18,Approved,,,In Progress
2016-01-18,Approved,,,Inactive
2019-02-21,Denied,,,
2012-08-21,Denied,,,
2017-01-18,Approved,,,In Progress
2017-01-18,Approved,,,
2019-01-18,Approved,,,Inactive
2022-01-18,Approved,,,In Progress
2023-01-18,Approved,,,Inactive
2023-01-18,Approved,,,In Progress
2025-01-18,Approved,,,Credential Completed
2029-01-18,Approved,,,Credential Completed
2029-01-18,Approved,,,Inactive
1930-01-18,Approved,,,In Progress
1930-01-18,Approved,,,Inactive
1930-01-18,Approved,,,In Progress
1931-01-18,Approved,,,Inactive
1931-01-18,Approved,,,Credential Completed
2005-02-18,Approved,,,In Progress
2007-02-18,Approved,,,In Progress
2007-02-18,Approved,,,Credential Completed
2013-02-18,Approved,,,Credential Completed
2014-02-18,Approved,,,
2027-02-18,Approved,,,Inactive
2027-02-18,Approved,,,Credential Completed
2027-02-18,,,,In Progress
2028-02-18,Approved,,,In Progress
2028-02-18,Approved,,,Inactive
2028-02-18,Approved,,,In Progress
2001-03-18,Approved,,,In Progress
2001-03-18,Approved,,,Inactive
2007-03-18,Approved,,,Inactive
2009-03-18,Approved,,,Inactive
2009-03-18,Approved,,,Inactive
2009-03-18,Approved,,,In Progress
2009-03-18,Approved,,,In Progress
2016-03-18,Approved,,,Credential Completed
2020-03-18,Approved,,,In Progress
2021-03-18,Approved,,,Credential Completed
2021-03-18,Approved,,,In Progress
2021-03-18,Approved,,,In Progress
2022-03-18,Approved,,,Inactive
2022-03-18,Approved,,,In Progress
2023-07-18,Denied,,,
2023-03-18,Approved,,,In Progress
2023-03-18,Approved,,,In Progress
2026-03-18,Approved,,,In Progress
2027-03-18,Approved,,,Inactive
2027-03-18,Approved,,,In Progress
2024-08-21,Denied,,,
2020-02-20,Denied,,,
2019-07-20,Denied,,,
2027-03-18,Approved,,,In Progress
2006-04-18,Approved,,,Credential Completed
2006-04-18,Approved,,,In Progress
2006-04-18,Approved,,,Inactive
2013-04-18,Approved,,,In Progress
2013-04-18,Approved,,,In Progress
2016-04-18,Approved,,,Inactive
2017-04-18,Approved,,,In Progress
2017-04-18,Approved,,,In Progress
2018-04-18,Approved,,,In Progress
2019-04-18,Approved,,,Credential Completed
2021-01-20,Denied,,,
2025-04-18,,,,Inactive
2027-04-18,Approved,,,Inactive
2028-04-18,Approved,,,Credential Completed
1930-04-18,Approved,,,Inactive
2002-05-18,Approved,,,Inactive
2006-05-18,Approved,,,Credential Completed
2007-05-18,Approved,,,Inactive
2008-05-18,Approved,,,In Progress
2009-05-18,Approved,,,Inactive
2009-05-18,Approved,,,In Progress
2017-05-18,Approved,,,Credential Completed
2028-10-19,Denied,,,
2021-05-18,Approved,,,Inactive
2028-05-18,Approved,,,In Progress
2029-05-18,Approved,,,Inactive
1930-05-18,Approved,,,In Progress
1931-05-18,Approved,,,In Progress
2002-06-18,Approved,,,In Progress
2005-06-18,Approved,,,Credential Completed
2005-06-18,,,,In Progress
2006-06-18,Approved,,,In Progress
2006-06-18,Approved,,,Credential Completed
2006-06-18,Approved,,,In Progress
2007-06-18,Approved,,,Inactive
2007-06-18,Approved,,,In Progress
2011-06-18,Approved,,,In Progress
2011-06-18,Approved,,,In Progress
2012-06-18,Approved,,,Inactive
1931-08-18,Denied,,,
2008-08-20,Denied,,,
2015-06-18,Approved,,,In Progress
2015-06-18,Approved,,,Inactive
2015-06-18,Approved,,,Inactive
2018-06-18,,,,In Progress
2018-06-18,Approved,,,Inactive
2019-06-18,Approved,,,Credential Completed
2020-06-18,Approved,,,Credential Completed
2022-06-18,Approved,,,In Progress
2025-06-18,Approved,,,In Progress
2026-06-18,Approved,,,In Progress
2028-06-18,Approved,,,Credential Completed
2023-08-19,Denied,,,
2029-06-18,Approved,,,Inactive
2001-07-18,Approved,,,Inactive
2003-07-18,Approved,,,In Progress
2004-07-18,Approved,,,In Progress
2005-07-18,Approved,,,Inactive
2006-07-18,Approved,,,Inactive
2006-07-18,Approved,,,In Progress
2006-07-18,Approved,,,Inactive
2006-07-18,Approved,,,Inactive
2009-07-18,Approved,,,Inactive
2009-07-18,Approved,,,In Progress
2012-07-18,Approved,,,Inactive
2013-07-18,Approved,,,Inactive
2013-07-18,Approved,,,Inactive
2016-07-18,Approved,,,In Progress
2016-07-18,Approved,,,Inactive
2016-07-18,Approved,,,Inactive
2017-07-18,Approved,,,Inactive
2018-07-18,Approved,,,Inactive
2019-07-18,Approved,,,In Progress
2019-07-18,Approved,,,In Progress
2020-07-18,Approved,,,Inactive
2021-07-18,Approved,,,In Progress
2018-05-21,Denied,,,
2021-07-18,Approved,,,In Progress
2023-07-18,Approved,,,Inactive
2023-07-18,Approved,,,In Progress
2024-07-18,Approved,,,In Progress
2026-07-18,Approved,,,In Progress
2028-12-20,Denied,,,
2011-12-20,Denied,,,
2018-12-20,Denied,,,
2027-07-18,Approved,,,Inactive
2008-01-21,Denied,,,
2012-05-21,Denied,,,
2027-07-18,Approved,,,Inactive
2027-07-18,Approved,,,In Progress
2027-07-18,Approved,,,Inactive
1931-07-18,Approved,,,In Progress
1931-07-18,Approved,,,Inactive
1931-07-18,Approved,,,In Progress
1931-07-18,Approved,,,Credential Completed
1931-07-18,Approved,,,Credential Completed
1931-07-18,Approved,,,Inactive
2017-10-21,Denied,,,
1931-07-18,Approved,,,In Progress
2001-08-18,Approved,,,In Progress
2002-08-18,Approved,,,In Progress
2002-08-18,Approved,,,Inactive
2002-08-18,Approved,,,Inactive
2012-11-20,Denied,,,
2003-08-18,Approved,,,Inactive
2007-08-18,Approved,,,Inactive
2008-08-18,Approved,,,In Progress
2008-08-18,Approved,,,Inactive
2008-08-18,Approved,,,Credential Completed
2009-08-18,Approved,,,Inactive
2009-08-18,Approved,,,Inactive
2004-08-20,Denied,,,
2009-08-18,Approved,,,In Progress
2013-08-18,Approved,,,Inactive
2013-08-18,Approved,,,Inactive
2014-08-18,Approved,,,In Progress
2014-08-18,Approved,,,Inactive
2014-08-18,Approved,,,Inactive
2015-08-18,Approved,,,Credential Completed
2015-08-18,Approved,,,Inactive
2015-08-18,Approved,,,Inactive
2015-08-18,Approved,,,Inactive
2016-08-18,Approved,,,Inactive
2017-08-18,Approved,,,Inactive
2017-08-18,Approved,,,In Progress
2018-08-18,Approved,,,Inactive
2019-08-18,Approved,,,Inactive
2019-08-18,Approved,,,Credential Completed
2020-08-18,Approved,,,Inactive
2020-08-18,Approved,,,Inactive
2020-08-18,Approved,,,Credential Completed
2020-08-18,Approved,,,In Progress
2020-08-18,Approved,,,In Progress
2021-08-18,Approved,,,Inactive
2021-08-18,Approved,,,Credential Completed
2021-08-18,Approved,,,
2021-08-18,,,,In Progress
2003-12-21,Denied,,,
2021-08-18,Approved,,,Credential Completed
2022-08-18,Approved,,,Inactive
2022-08-18,Approved,,,Credential Completed
2022-08-18,Approved,,,Inactive
2022-08-18,Approved,,,Inactive
2022-08-18,Approved,,,Inactive
2022-08-18,Approved,,,
2022-08-18,Approved,,,In Progress
2022-08-18,Approved,,,Inactive
2022-08-18,Approved,,,In Progress
2023-08-18,Approved,,,Inactive
2023-08-18,Approved,,,
2023-08-18,Approved,,,Inactive
2024-08-18,Approved,,,Credential Completed
2027-08-18,Approved,,,Inactive
2027-08-18,Approved,,,Inactive
2027-08-18,Approved,,,In Progress
2028-08-18,Approved,,,In Progress
2028-08-18,Approved,,,In Progress
2028-08-18,Approved,,,Inactive
2029-08-18,Approved,,,Inactive
2029-08-18,Approved,,,In Progress
2029-08-18,Approved,,,Inactive
2029-08-18,Approved,,,Credential Completed
2027-05-20,Denied,,,
2029-08-18,Approved,,,Inactive
1930-08-18,Approved,,,Credential Completed
1930-08-18,Approved,,,Credential Completed
2008-08-21,Denied,,,
2028-02-20,Denied,,,
1931-08-18,Approved,,,In Progress
1931-08-18,Approved,,,Inactive
2020-04-20,Denied,,,
2001-09-18,Approved,,,Inactive
2009-04-20,Denied,,,
1931-03-20,Denied,,,
2001-04-20,Denied,,,
2004-09-18,Approved,,,In Progress
2004-09-18,Approved,,,In Progress
1930-10-19,Denied,,,
2004-09-18,Approved,,,Inactive
2004-09-18,Approved,,,Credential Completed
2004-09-18,Approved,,,In Progress
2027-06-19,Denied,,,
2004-09-18,Approved,,,In Progress
1930-01-20,Denied,,,
2021-11-19,Denied,,,
2005-09-18,Approved,,,Inactive
2005-09-18,Approved,,,In Progress
2005-09-18,Approved,,,Credential Completed
2006-09-18,Approved,,,Inactive
2006-09-18,Approved,,,In Progress
2006-09-18,Approved,,,In Progress
2006-09-18,Approved,,,Inactive
2006-09-18,Approved,,,Inactive
2003-10-19,Denied,,,
2007-09-18,Approved,,,In Progress
2007-09-18,Approved,,,In Progress
2007-09-18,Approved,,,Inactive
2007-09-18,Approved,,,In Progress
2019-11-19,Denied,,,
2020-12-19,Denied,,,
2007-09-18,Approved,,,In Progress
2008-09-18,Approved,,,In Progress
2010-09-18,Approved,,,Inactive
2010-09-18,Approved,,,In Progress
2010-09-18,Approved,,,Credential Completed
2010-09-18,Approved,,,In Progress
2010-09-18,Approved,,,In Progress
2011-09-18,Approved,,,Inactive
2012-09-18,Approved,,,Inactive
2013-09-18,Approved,,,In Progress
2013-09-18,Approved,,,Credential Completed
2014-09-18,Approved,,,In Progress
2017-09-18,Approved,,,Inactive
2026-08-19,Denied,,,
2017-09-18,Approved,,,Inactive
2019-09-18,Approved,,,Credential Completed
2019-09-18,Approved,,,Inactive
2019-09-18,Approved,,,Inactive
2026-08-21,Denied,,,
2020-09-18,Approved,,,Credential Completed
2020-09-18,Approved,,,Credential Completed
2021-09-18,Approved,,,Credential Completed
2021-09-18,Approved,,,
2025-09-18,Approved,,,Inactive
2025-09-18,Approved,,,Inactive
2015-02-21,Denied,,,
2013-04-21,Denied,,,
2027-09-18,Approved,,,Credential Completed
2027-09-18,Approved,,,In Progress
2028-09-18,Approved,,,Inactive
2028-09-18,Approved,,,In Progress
2028-09-18,Approved,,,Inactive
2001-10-18,Approved,,,In Progress
2012-12-19,Denied,,,
2003-10-18,Approved,,,Inactive
2009-10-18,Approved,,,In Progress
2009-10-18,Approved,,,Inactive
2009-12-21,Denied,,,
2007-08-18,Denied,,,
2010-10-18,Approved,,,In Progress
2010-10-18,Approved,,,Credential Completed
2012-10-18,Approved,,,Inactive
2012-10-18,Approved,,,In Progress
2017-10-18,Approved,,,Inactive
2017-10-18,Approved,,,Inactive
2018-10-18,Approved,,,In Progress
2019-10-18,Approved,,,Inactive
2023-10-18,Approved,,,In Progress
2022-11-21,Denied,,,
2024-10-18,Approved,,,Inactive
2026-10-18,Approved,,,In Progress
2029-10-18,Approved,,,In Progress
2029-10-18,Approved,,,Inactive
2029-10-18,Approved,,,Inactive
2029-10-18,Approved,,,Credential Completed
1930-10-18,Approved,,,In Progress
1930-10-18,Approved,,,Inactive
1930-10-18,Approved,,,In Progress
2027-09-18,Denied,,,
2001-11-18,Approved,,,In Progress
2002-11-18,Approved,,,Credential Completed
2002-11-18,Approved,,,In Progress
2002-11-18,Approved,,,Inactive
2027-07-18,Denied,,,
2005-11-18,Approved,,,In Progress
2005-11-18,Approved,,,Inactive
2007-11-18,Approved,,,Inactive
2010-09-18,Denied,,,
2007-11-18,Approved,,,In Progress
2007-11-18,Approved,,,In Progress
2008-11-18,Approved,,,In Progress
2008-11-18,Approved,,,Inactive
2010-11-18,Approved,,,In Progress
2014-02-20,Denied,,,
2012-11-18,Approved,,,In Progress
2013-11-18,Approved,,,In Progress
2013-11-18,Approved,,,Inactive
2013-11-18,Approved,,,Inactive
2013-11-18,Approved,,,In Progress
2014-11-18,Approved,,,Credential Completed
2015-11-18,Approved,,,Inactive
2026-02-18,Denied,,,
2015-11-18,Approved,,,In Progress
2009-12-21,Denied,,,
1930-08-18,Denied,,,
2015-11-18,Approved,,,Inactive
2015-08-18,Denied,,,
2015-11-18,Approved,,,Inactive
2015-11-18,Approved,,,In Progress
2016-11-18,Approved,,,Inactive
2016-11-18,Approved,,,In Progress
2016-11-18,Approved,,,Credential Completed
2016-11-18,Approved,,,Inactive
2002-08-18,Denied,,,
2018-11-18,Approved,,,In Progress
2019-11-18,Approved,,,Credential Completed
2019-11-18,Approved,,,Credential Completed
2020-11-18,Approved,,,Inactive
2020-11-18,Approved,,,Inactive
2020-11-18,Approved,,,In Progress
2021-11-18,Approved,,,Inactive
2021-11-18,Approved,,,Credential Completed
2021-11-18,Approved,,,In Progress
2022-11-18,Approved,,,Inactive
2022-11-18,Approved,,,Credential Completed
2026-11-18,Approved,,,In Progress
2026-11-18,Approved,,,In Progress
2026-11-18,Approved,,,Inactive
2026-11-18,Approved,,,Inactive
2026-11-18,Approved,,,In Progress
2026-11-18,Approved,,,Inactive
2026-11-18,Approved,,,Inactive
2027-11-18,Approved,,,In Progress
2028-11-18,Approved,,,Inactive
1930-11-18,Approved,,,Credential Completed
1930-11-18,Approved,,,In Progress
1930-11-18,Approved,,,In Progress
2003-12-18,Approved,,,Inactive
2003-12-18,Approved,,,
2004-12-18,Approved,,,Inactive
2004-12-18,Approved,,,In Progress
2004-12-18,Approved,,,
2004-12-18,Approved,,,In Progress
2004-12-18,Approved,,,In Progress
2004-12-18,Approved,,,Inactive
2005-12-18,Approved,,,
2006-12-18,,,,In Progress
2007-12-18,Approved,,,In Progress
2007-12-18,Approved,,,In Progress
2010-12-18,Approved,,,In Progress
2010-12-18,Approved,,,In Progress
