received_date,application_status,denial_reason,exception_comments,twp_status
2014-11-17,APPROVED,,,"In Progress"
2029-07-21,DENIED,,,
2015-11-17,APPROVED,,,Inactive
2015-11-17,APPROVED,,,Inactive
2015-11-17,APPROVED,,,"In Progress"
2009-05-21,DENIED,,,
2015-11-17,APPROVED,,,Inactive
2015-11-17,APPROVED,,,"In Progress"
2016-11-17,APPROVED,,,Inactive
2016-11-17,APPROVED,,,"In Progress"
2017-11-17,APPROVED,,,Inactive
2020-11-17,APPROVED,,,Inactive
2021-10-21,DENIED,,,
2012-08-21,DENIED,,,
2020-11-17,APPROVED,,,"In Progress"
2020-11-17,APPROVED,,,
2020-11-17,APPROVED,,,Inactive
2021-11-17,APPROVED,,,"Credential Completed"
2021-11-17,APPROVED,,,Inactive
2021-11-17,APPROVED,,,Inactive
2021-11-17,APPROVED,,,
1930-04-19,DENIED,,,
2021-11-17,APPROVED,,,"In Progress"
2022-11-17,APPROVED,,,Inactive
2022-11-17,APPROVED,,,"In Progress"
2022-11-17,APPROVED,,,Inactive
2023-11-17,APPROVED,,,Inactive
2023-11-17,APPROVED,,,"Credential Completed"
2008-11-21,DENIED,,,
2023-11-17,APPROVED,,,Inactive
2023-11-17,APPROVED,,,"In Progress"
2023-11-17,APPROVED,,,Inactive
2023-11-17,APPROVED,,,"Credential Completed"
2023-11-17,APPROVED,,,"In Progress"
2023-11-17,APPROVED,,,Inactive
2023-11-17,APPROVED,,,"Credential Completed"
2024-11-17,APPROVED,,,"In Progress"
2001-11-19,DENIED,,,
2024-11-17,APPROVED,,,Inactive
2028-11-17,APPROVED,,,"In Progress"
2028-11-17,APPROVED,,,"In Progress"
2017-01-19,DENIED,,,
2028-11-17,APPROVED,,,"Credential Completed"
2028-11-17,APPROVED,,,Inactive
2028-11-17,APPROVED,,,Inactive
2028-11-17,APPROVED,,,"In Progress"
2028-11-17,APPROVED,,,Inactive
2029-11-17,APPROVED,,,"In Progress"
2016-05-19,DENIED,,,
2029-11-17,APPROVED,,,Inactive
1930-11-17,APPROVED,,,"In Progress"
1930-11-17,APPROVED,,,Inactive
1930-11-17,APPROVED,,,Inactive
1930-11-17,APPROVED,,,Inactive
1930-11-17,APPROVED,,,"Credential Completed"
2001-10-19,DENIED,,,
2003-12-17,APPROVED,,,Inactive
2004-12-17,APPROVED,,,Inactive
2004-12-17,APPROVED,,,"Credential Completed"
2004-12-17,APPROVED,,,"In Progress"
2004-12-17,APPROVED,,,Inactive
2005-12-17,APPROVED,,,"Credential Completed"
2005-12-17,APPROVED,,,Inactive
2005-12-17,APPROVED,,,Inactive
2005-12-17,APPROVED,,,Inactive
2011-05-20,DENIED,,,
2005-12-17,APPROVED,,,Inactive
2005-12-17,APPROVED,,,"In Progress"
2005-12-17,APPROVED,,,
2006-12-17,APPROVED,,,"Credential Completed"
2006-12-17,APPROVED,,,"In Progress"
2007-07-19,DENIED,,,
2006-12-17,APPROVED,,,"In Progress"
2006-12-17,APPROVED,,,Inactive
2006-12-17,APPROVED,,,"Credential Completed"
2006-12-17,APPROVED,,,"Credential Completed"
2006-12-17,APPROVED,,,Inactive
2007-12-17,APPROVED,,,Inactive
2007-12-17,APPROVED,,,"In Progress"
2008-12-17,APPROVED,,,Inactive
2011-12-17,APPROVED,,,"Credential Completed"
2010-02-21,DENIED,,,
2011-12-17,APPROVED,,,"In Progress"
2012-12-17,APPROVED,,,"Credential Completed"
2012-12-17,APPROVED,,,"Credential Completed"
2012-12-17,APPROVED,,,"Credential Completed"
2013-12-17,APPROVED,,,"In Progress"
2013-12-17,APPROVED,,,"Credential Completed"
2013-12-17,APPROVED,,,Inactive
2013-12-17,APPROVED,,,"In Progress"
2013-12-17,APPROVED,,,Inactive
2013-12-17,APPROVED,,,"In Progress"
2009-04-20,DENIED,,,
2013-12-17,APPROVED,,,
2013-12-17,APPROVED,,,"Credential Completed"
2014-12-17,APPROVED,,,"In Progress"
2014-12-17,APPROVED,,,"Credential Completed"
2014-12-17,APPROVED,,,"In Progress"
2015-12-17,APPROVED,,,Inactive
2015-12-17,APPROVED,,,Inactive
1930-01-20,DENIED,,,
2004-11-19,DENIED,,,
2018-12-17,APPROVED,,,Inactive
2019-12-17,APPROVED,,,Inactive
2019-12-17,APPROVED,,,Inactive
2019-12-17,APPROVED,,,"Credential Completed"
2020-12-17,APPROVED,,,"In Progress"
2022-12-17,APPROVED,,,"In Progress"
2002-01-18,APPROVED,,,"Credential Completed"
2024-08-18,DENIED,,,
2002-01-18,APPROVED,,,"In Progress"
2002-01-18,APPROVED,,,Inactive
2002-01-18,APPROVED,,,"In Progress"
2002-01-18,APPROVED,,,"Credential Completed"
2004-01-18,APPROVED,,,"In Progress"
2004-01-18,APPROVED,,,"In Progress"
2004-01-18,APPROVED,,,Inactive
2007-01-18,APPROVED,,,Inactive
2008-01-18,APPROVED,,,Inactive
2008-01-18,APPROVED,,,Inactive
2008-01-18,APPROVED,,,Inactive
2008-01-18,APPROVED,,,"In Progress"
2009-01-18,APPROVED,,,"In Progress"
2009-01-18,APPROVED,,,Inactive
2009-01-18,APPROVED,,,Inactive
2009-01-18,APPROVED,,,Inactive
2010-01-18,APPROVED,,,Inactive
2011-01-18,APPROVED,,,"In Progress"
2016-01-18,APPROVED,,,"In Progress"
2016-01-18,APPROVED,,,Inactive
2019-02-21,DENIED,,,
2012-08-21,DENIED,,,
2017-01-18,APPROVED,,,"In Progress"
2017-01-18,APPROVED,,,
2019-01-18,APPROVED,,,Inactive
2022-01-18,APPROVED,,,"In Progress"
2023-01-18,APPROVED,,,Inactive
2023-01-18,APPROVED,,,"In Progress"
2025-01-18,APPROVED,,,"Credential Completed"
2029-01-18,APPROVED,,,"Credential Completed"
2029-01-18,APPROVED,,,Inactive
1930-01-18,APPROVED,,,"In Progress"
1930-01-18,APPROVED,,,Inactive
1930-01-18,APPROVED,,,"In Progress"
1931-01-18,APPROVED,,,Inactive
1931-01-18,APPROVED,,,"Credential Completed"
2005-02-18,APPROVED,,,"In Progress"
2007-02-18,APPROVED,,,"In Progress"
2007-02-18,APPROVED,,,"Credential Completed"
2013-02-18,APPROVED,,,"Credential Completed"
2014-02-18,APPROVED,,,
2027-02-18,APPROVED,,,Inactive
2027-02-18,APPROVED,,,"Credential Completed"
2027-02-18,,,,"In Progress"
2028-02-18,APPROVED,,,"In Progress"
2028-02-18,APPROVED,,,Inactive
2028-02-18,APPROVED,,,"In Progress"
2001-03-18,APPROVED,,,"In Progress"
2001-03-18,APPROVED,,,Inactive
2007-03-18,APPROVED,,,Inactive
2009-03-18,APPROVED,,,Inactive
2009-03-18,APPROVED,,,Inactive
2009-03-18,APPROVED,,,"In Progress"
2009-03-18,APPROVED,,,"In Progress"
2016-03-18,APPROVED,,,"Credential Completed"
2020-03-18,APPROVED,,,"In Progress"
2021-03-18,APPROVED,,,"Credential Completed"
2021-03-18,APPROVED,,,"In Progress"
2021-03-18,APPROVED,,,"In Progress"
2022-03-18,APPROVED,,,Inactive
2022-03-18,APPROVED,,,"In Progress"
2023-07-18,DENIED,,,
2023-03-18,APPROVED,,,"In Progress"
2023-03-18,APPROVED,,,"In Progress"
2026-03-18,APPROVED,,,"In Progress"
2027-03-18,APPROVED,,,Inactive
2027-03-18,APPROVED,,,"In Progress"
2024-08-21,DENIED,,,
2020-02-20,DENIED,,,
2019-07-20,DENIED,,,
2027-03-18,APPROVED,,,"In Progress"
2006-04-18,APPROVED,,,"Credential Completed"
2006-04-18,APPROVED,,,"In Progress"
2006-04-18,APPROVED,,,Inactive
2013-04-18,APPROVED,,,"In Progress"
2013-04-18,APPROVED,,,"In Progress"
2016-04-18,APPROVED,,,Inactive
2017-04-18,APPROVED,,,"In Progress"
2017-04-18,APPROVED,,,"In Progress"
2018-04-18,APPROVED,,,"In Progress"
2019-04-18,APPROVED,,,"Credential Completed"
2021-01-20,DENIED,,,
2025-04-18,,,,Inactive
2027-04-18,APPROVED,,,Inactive
2028-04-18,APPROVED,,,"Credential Completed"
1930-04-18,APPROVED,,,Inactive
2002-05-18,APPROVED,,,Inactive
2006-05-18,APPROVED,,,"Credential Completed"
2007-05-18,APPROVED,,,Inactive
2008-05-18,APPROVED,,,"In Progress"
2009-05-18,APPROVED,,,Inactive
2009-05-18,APPROVED,,,"In Progress"
2017-05-18,APPROVED,,,"Credential Completed"
2028-10-19,DENIED,,,
2021-05-18,APPROVED,,,Inactive
2028-05-18,APPROVED,,,"In Progress"
2029-05-18,APPROVED,,,Inactive
1930-05-18,APPROVED,,,"In Progress"
1931-05-18,APPROVED,,,"In Progress"
2002-06-18,APPROVED,,,"In Progress"
2005-06-18,APPROVED,,,"Credential Completed"
2005-06-18,,,,"In Progress"
2006-06-18,APPROVED,,,"In Progress"
2006-06-18,APPROVED,,,"Credential Completed"
2006-06-18,APPROVED,,,"In Progress"
2007-06-18,APPROVED,,,Inactive
2007-06-18,APPROVED,,,"In Progress"
2011-06-18,APPROVED,,,"In Progress"
2011-06-18,APPROVED,,,"In Progress"
2012-06-18,APPROVED,,,Inactive
1931-08-18,DENIED,,,
2008-08-20,DENIED,,,
2015-06-18,APPROVED,,,"In Progress"
2015-06-18,APPROVED,,,Inactive
2015-06-18,APPROVED,,,Inactive
2018-06-18,,,,"In Progress"
2018-06-18,APPROVED,,,Inactive
2019-06-18,APPROVED,,,"Credential Completed"
2020-06-18,APPROVED,,,"Credential Completed"
2022-06-18,APPROVED,,,"In Progress"
2025-06-18,APPROVED,,,"In Progress"
2026-06-18,APPROVED,,,"In Progress"
2028-06-18,APPROVED,,,"Credential Completed"
2023-08-19,DENIED,,,
2029-06-18,APPROVED,,,Inactive
2001-07-18,APPROVED,,,Inactive
2003-07-18,APPROVED,,,"In Progress"
2004-07-18,APPROVED,,,"In Progress"
2005-07-18,APPROVED,,,Inactive
2006-07-18,APPROVED,,,Inactive
2006-07-18,APPROVED,,,"In Progress"
2006-07-18,APPROVED,,,Inactive
2006-07-18,APPROVED,,,Inactive
2009-07-18,APPROVED,,,Inactive
2009-07-18,APPROVED,,,"In Progress"
2012-07-18,APPROVED,,,Inactive
2013-07-18,APPROVED,,,Inactive
2013-07-18,APPROVED,,,Inactive
2016-07-18,APPROVED,,,"In Progress"
2016-07-18,APPROVED,,,Inactive
2016-07-18,APPROVED,,,Inactive
2017-07-18,APPROVED,,,Inactive
2018-07-18,APPROVED,,,Inactive
2019-07-18,APPROVED,,,"In Progress"
2019-07-18,APPROVED,,,"In Progress"
2020-07-18,APPROVED,,,Inactive
2021-07-18,APPROVED,,,"In Progress"
2018-05-21,DENIED,,,
2021-07-18,APPROVED,,,"In Progress"
2023-07-18,APPROVED,,,Inactive
2023-07-18,APPROVED,,,"In Progress"
2024-07-18,APPROVED,,,"In Progress"
2026-07-18,APPROVED,,,"In Progress"
2028-12-20,DENIED,,,
2011-12-20,DENIED,,,
2018-12-20,DENIED,,,
2027-07-18,APPROVED,,,Inactive
2008-01-21,DENIED,,,
2012-05-21,DENIED,,,
2027-07-18,APPROVED,,,Inactive
2027-07-18,APPROVED,,,"In Progress"
2027-07-18,APPROVED,,,Inactive
1931-07-18,APPROVED,,,"In Progress"
1931-07-18,APPROVED,,,Inactive
1931-07-18,APPROVED,,,"In Progress"
1931-07-18,APPROVED,,,"Credential Completed"
1931-07-18,APPROVED,,,"Credential Completed"
1931-07-18,APPROVED,,,Inactive
2017-10-21,DENIED,,,
1931-07-18,APPROVED,,,"In Progress"
2001-08-18,APPROVED,,,"In Progress"
2002-08-18,APPROVED,,,"In Progress"
2002-08-18,APPROVED,,,Inactive
2002-08-18,APPROVED,,,Inactive
2012-11-20,DENIED,,,
2003-08-18,APPROVED,,,Inactive
2007-08-18,APPROVED,,,Inactive
2008-08-18,APPROVED,,,"In Progress"
2008-08-18,APPROVED,,,Inactive
2008-08-18,APPROVED,,,"Credential Completed"
2009-08-18,APPROVED,,,Inactive
2009-08-18,APPROVED,,,Inactive
2004-08-20,DENIED,,,
2009-08-18,APPROVED,,,"In Progress"
2013-08-18,APPROVED,,,Inactive
2013-08-18,APPROVED,,,Inactive
2014-08-18,APPROVED,,,"In Progress"
2014-08-18,APPROVED,,,Inactive
2014-08-18,APPROVED,,,Inactive
2015-08-18,APPROVED,,,"Credential Completed"
2015-08-18,APPROVED,,,Inactive
2015-08-18,APPROVED,,,Inactive
2015-08-18,APPROVED,,,Inactive
2016-08-18,APPROVED,,,Inactive
2017-08-18,APPROVED,,,Inactive
2017-08-18,APPROVED,,,"In Progress"
2018-08-18,APPROVED,,,Inactive
2019-08-18,APPROVED,,,Inactive
2019-08-18,APPROVED,,,"Credential Completed"
2020-08-18,APPROVED,,,Inactive
2020-08-18,APPROVED,,,Inactive
2020-08-18,APPROVED,,,"Credential Completed"
2020-08-18,APPROVED,,,"In Progress"
2020-08-18,APPROVED,,,"In Progress"
2021-08-18,APPROVED,,,Inactive
2021-08-18,APPROVED,,,"Credential Completed"
2021-08-18,APPROVED,,,
2021-08-18,,,,"In Progress"
2003-12-21,DENIED,,,
2021-08-18,APPROVED,,,"Credential Completed"
2022-08-18,APPROVED,,,Inactive
2022-08-18,APPROVED,,,"Credential Completed"
2022-08-18,APPROVED,,,Inactive
2022-08-18,APPROVED,,,Inactive
2022-08-18,APPROVED,,,Inactive
2022-08-18,APPROVED,,,
2022-08-18,APPROVED,,,"In Progress"
2022-08-18,APPROVED,,,Inactive
2022-08-18,APPROVED,,,"In Progress"
2023-08-18,APPROVED,,,Inactive
2023-08-18,APPROVED,,,
2023-08-18,APPROVED,,,Inactive
2024-08-18,APPROVED,,,"Credential Completed"
2027-08-18,APPROVED,,,Inactive
2027-08-18,APPROVED,,,Inactive
2027-08-18,APPROVED,,,"In Progress"
2028-08-18,APPROVED,,,"In Progress"
2028-08-18,APPROVED,,,"In Progress"
2028-08-18,APPROVED,,,Inactive
2029-08-18,APPROVED,,,Inactive
2029-08-18,APPROVED,,,"In Progress"
2029-08-18,APPROVED,,,Inactive
2029-08-18,APPROVED,,,"Credential Completed"
2027-05-20,DENIED,,,
2029-08-18,APPROVED,,,Inactive
1930-08-18,APPROVED,,,"Credential Completed"
1930-08-18,APPROVED,,,"Credential Completed"
2008-08-21,DENIED,,,
2028-02-20,DENIED,,,
1931-08-18,APPROVED,,,"In Progress"
1931-08-18,APPROVED,,,Inactive
2020-04-20,DENIED,,,
2001-09-18,APPROVED,,,Inactive
2009-04-20,DENIED,,,
1931-03-20,DENIED,,,
2001-04-20,DENIED,,,
2004-09-18,APPROVED,,,"In Progress"
2004-09-18,APPROVED,,,"In Progress"
1930-10-19,DENIED,,,
2004-09-18,APPROVED,,,Inactive
2004-09-18,APPROVED,,,"Credential Completed"
2004-09-18,APPROVED,,,"In Progress"
2027-06-19,DENIED,,,
2004-09-18,APPROVED,,,"In Progress"
1930-01-20,DENIED,,,
2021-11-19,DENIED,,,
2005-09-18,APPROVED,,,Inactive
2005-09-18,APPROVED,,,"In Progress"
2005-09-18,APPROVED,,,"Credential Completed"
2006-09-18,APPROVED,,,Inactive
2006-09-18,APPROVED,,,"In Progress"
2006-09-18,APPROVED,,,"In Progress"
2006-09-18,APPROVED,,,Inactive
2006-09-18,APPROVED,,,Inactive
2003-10-19,DENIED,,,
2007-09-18,APPROVED,,,"In Progress"
2007-09-18,APPROVED,,,"In Progress"
2007-09-18,APPROVED,,,Inactive
2007-09-18,APPROVED,,,"In Progress"
2019-11-19,DENIED,,,
2020-12-19,DENIED,,,
2007-09-18,APPROVED,,,"In Progress"
2008-09-18,APPROVED,,,"In Progress"
2010-09-18,APPROVED,,,Inactive
2010-09-18,APPROVED,,,"In Progress"
2010-09-18,APPROVED,,,"Credential Completed"
2010-09-18,APPROVED,,,"In Progress"
2010-09-18,APPROVED,,,"In Progress"
2011-09-18,APPROVED,,,Inactive
2012-09-18,APPROVED,,,Inactive
2013-09-18,APPROVED,,,"In Progress"
2013-09-18,APPROVED,,,"Credential Completed"
2014-09-18,APPROVED,,,"In Progress"
2017-09-18,APPROVED,,,Inactive
2026-08-19,DENIED,,,
2017-09-18,APPROVED,,,Inactive
2019-09-18,APPROVED,,,"Credential Completed"
2019-09-18,APPROVED,,,Inactive
2019-09-18,APPROVED,,,Inactive
2026-08-21,DENIED,,,
2020-09-18,APPROVED,,,"Credential Completed"
2020-09-18,APPROVED,,,"Credential Completed"
