institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments
College of New Caledonia,,Bookkeeping,,, Hiatus ,
,,,,,,
College of New Caledonia,,Professional Cook 2,,, Completed  ,
College of New Caledonia,,BA Nursing,,, Attending ,
BCIT,01-03-2021,Marketing Management Diploma,2," $12,060.00 ",,
BCIT,01-04-2021,Bridge Watch Rating & Nautical Courses,1," $2,378.00 ",,
Kwantlen Polytechnic University,01-09-2017,BA Nursing,4," $45,000.00 ", Hiatus ,
Langara College,,Foundations in Health Studies Citation,,, Hiatus ,
Nicola Valley Institute of Technology,,Bachelor of Social Work,4,,,
Nicola Valley Institute of Technology,,Associate of Arts in First Nations Studies,,,,
Thompson Rivers University,01-09-2018,Human Services, 2 ," $13,572.96 ", Attending ,
Douglas College,08-09-2017,Youth Justice Worker,2," $12,000.00 ", Attending ,
University of British Columbia,,Bachelor of Social Work,,, Completed  ,
Douglas College,01-09-2018,General Studies,2," $12,000.00 ", Hiatus ,
University of British Columbia,05-09-2018,Bachelor of Applied Science,4," $27,000.00 ", Completed  ,
BCIT,08-09-2020,New Media and Design Development Diploma,2," $19,509.00 ",,
Nicola Valley Institute of Technology,,Chemical Addiction Worker Certificate,,, Hiatus ,
Simon Fraser University,,Bachelor of Arts,,,,
Nicola Valley Institute of Technology,,Associate of Arts,,, Hiatus ,
BCIT,08-09-2020,Broadcast & Online Journalism,2," $13,462.00 ", Hiatus ,
University of the Fraser Valley,,Qualifying Studies,,,,
University of British Columbia,,Bachelor of Applied Science,,, Completed  ,
Nicola Valley Institute of Technology,,Bachelor of Social Work, 4 ,, Completed  ,
BCIT,,Fine Arts,,, Never Attended ,
Kwantlen Polytechnic University,01-09-2017,Fine Arts,4," $23,500.00 ", Completed  ,
Douglas College,,Associate of Science and Cont Ed. Sport Institute ,,, Hiatus ,
University of the Fraser Valley,,Qualifying Studies,,,,
University of British Columbia Okanagan,,Bachelor of Human Kinetics,,,,
University of the Fraser Valley,,Bachelor of Criminology,,,,
Camosun College,04-09-2018,University Transfer,2,, Hiatus , Program change Feb 2019 report; last attended 08/20 
University of the Fraser Valley,,Bachelor of Arts,,,,
BCIT,04-10-2021,Welder Foundation,1," $5,086.00 ",,
Camosun College,05-09-2017,Criminal Justice,2,, Attending ,
Thompson Rivers University,06-09-2017,Bachelor of Arts in Criminology,4," $24,100.00 ", Hiatus ,
University of British Columbia Okanagan,06-09-2016,Bachelor of Arts,4," $27,000.00 ", Attending ,
Thompson Rivers University,,Bachelor of Science in Nursing,,,,
Langara College,,Associate of Arts,,, Hiatus ,
Camosun College,05-09-2017,Bachelor of Science in Nursing,4,, Hiatus , Last attended 12/19 
BCIT,01-04-2022,Bachelor of Science in Nursing,3," $23,033.00 ",,
Nicola Valley Institute of Technology,06-09-2016,Associate of Arts, 2 ," $5,600.00 ", Hiatus ," Last attended date: Dec 22, 2020 "
Camosun College,,Community Support Education Assistant,,,,
Vancouver Island University,,Bachelor of Arts in Child and Youth Care,,, Completed  ,
University of British Columbia Okanagan,,Bachelor of Ars,,, Completed  ,
Nicola Valley Institute of Technology,,Bachelor of Social Work,,, Completed  ,
University of British Columbia,05-09-2017,Certificate in Teaching English as a Second Language,4," $30,000.00 ", Attending , Credential: Bachelor of Science in Applied Biology: Applied Animal Biology 
University of British Columbia,,Bachelor of Education,,,,
Langara College,06-05-2019,Bachelor of Science in Nursing,2.5," $18,145.00 ", Attending ,
Vancouver Community College,,University Transfer,,,,
Kwantlen Polytechnic University,,Arts,,, Completed  ,
Nicola Valley Institute of Technology,,Associate of Arts,2,, Hiatus ,
University of the Fraser Valley,,Qualifying Studies,,,,
BCIT,06-01-2020,Graphic Design Certificate,1," $6,146.29 ",,
Langara College,04-09-2018,Arts and Science Diploma,2," $9,335.00 ", Hiatus ,
Camosun College,01-01-2020,Visual Arts,2," $8,200.00 ",,
Camosun College,30-09-2019,,,,,
University of British Columbia Okanagan,03-09-2013,Bachelor of Science in Nursing,4," $18,000.00 ", Attending ," Completed prev program, continung in Nursing: Credential: Bachelor of Human Kinetics "
Camosun College,,Arts and Science Studies,,, Hiatus ,
Camosun College,01-03-2021,Electrical Apprenticeship Level 1,1," $4,800.00 ",,
Douglas College,06-09-2022,Bachelor of Arts in Child and Youth Care,4," $22,083.00 ",,
University of the Fraser Valley,01-09-2017,Qualifying Studies,1," $8,005.00 ", Hiatus ,
Douglas College,,SFU Arts degree partnership,,, Hiatus ,
Simon Fraser University,04-09-2018,SFU Arts degree partnership,4," $26,160.00 ", Attending ,
Selkirk College,,Social Worker Diploma,,, Completed  ,
Camosun College,10-09-2018,,,,,
Camosun College,01-09-2020,Practical Nursing,2," $16,000.00 ",,
Kwantlen Polytechnic University,,Fashion,,, Hiatus ,
University of Victoria,,Bachelor of Arts,,, Attending ,
Thompson Rivers University,,Police and Justice Studies,,, Completed  ,
Langara College,05-09-2018,Criminology Diploma ,2," $9,211.00 ", Attending ,
University of the Fraser Valley,12-09-2021,Bachelor of Arts,4," $27,264.00 ", Hiatus ,
Nicola Valley Institute of Technology,,Chemical Addiction Worker Certificate,,, Completed  ,
Vancouver Island University,,,,,,
Justice Insitute of British Columbia,05-09-2018,Law Enforcement Studies Diploma/Bachelor of Enforcement Studies/Adult Probation Officer course,4," $13,300.00 ", Attending , Completed Diploma. Pursuing Bachelor Degree. 21SS and 21FA Tuitition/Attending Adult Probation course $311 
Camosun College,03-09-2019,,,,,
Camosun College,03-09-2019,,,,,
Kwantlen Polytechnic University,,Arts,,, Hiatus ,
BCIT,,Fine Arts,,, Never Attended ,
Kwantlen Polytechnic University,01-09-2017,Fine Arts/Nursing,4," $23,500.00 ", Completed  ,
Nicola Valley Institute of Technology,04-09-2018,Bachelor of Social Work,2," $7,800.00 ", Attending ,
Capilano University,,Accounting Assistant,,, Completed  ,
University of the Fraser Valley,,Qualifying Studies,,,,
BCIT,27-11-2017,Piping Foundation,,, Completed  ,
Selkirk College,,Human Services Diploma,,, Completed  ,
University of British Columbia,,Bachelor of Arts,,,,
University of British Columbia-Okanagan,,Bachelor of Management,,,,
Camosun College,01-04-2020,Professional Cook Level 1,1," $3,278.00 ",,
Nicola Valley Institute of Technology,08-09-2021,Environmental Resource Technology Diploma, 2 ," $5,300.00 ", Attending ,
Camosun College,01-09-2020,Bachelor of Business Administration ,4," $26,000.00 ",,
University of Victoria,,Bachelor of Arts,4," $26,668.00 ", Attending ,
Langara College,,Associate of Science,,, Hiatus ,
University of British Columbia Okanagan,01-09-2018,Unclassified Studies,,, Completed  , Credential awarded: Bachelor of Arts: English. Subsequently enrolled in Unclassified studies - no longer attending 
University of British Columbia,08-09-2016,Bachelor of Science,4," $17,000.00 ", Completed  ,
University of the Fraser Valley,,Applied Business Technology,,, Completed  , Is attending fall 2020 in upgrading courses 
Thompson Rivers University,01-09-2017,Bachelor of Computer Science,4," $24,100.00 ", Attending ,
Camosun College,08-09-2015,Associate Degree Arts,2,, Hiatus , Last attended 04/20 
University of British Columbia Okanagan,,Bachelor of Science,,, Completed  ,
University of British Columbia,08-09-2016,Bachelor of Science,4," $17,000.00 ", Completed  ,
University of British Columbia,05-09-2018,Bachelor of Arts, 4 ," $32,000.00 ", Hiatus ,
Vancouver Island University,05-09-2017,Bachelor of Social Work,4," $38,000.00 ", Hiatus ,
Vancouver Island University,04-01-2017,Bachelor of Arts,4," $25,000.00 ", Attending ,
Vancouver Island University,,Bachelor of Arts,,,,
Langara College,,Diploma Arts and Science General,,, Hiatus ,
Vancouver Island University,08-09-2015,Bachelor of Arts in Philosophy,4," $25,000.00 ", Hiatus ,
Camosun College,04-09-2018,Civil Engineering Technology,2,, Hiatus , withdrawal from program 
Camosun College,10-01-2022,Associate of Arts,2," $14,300.00 ",,
University of Victoria,,Bachelor of Engineering,,, Attending ,
Vancouver Island University,,Bachelor of Arts in Child and Youth Care,,,,
Camosun College,04-05-2020,Education Assistant and Community Support,1," $4,500.00 ",,
Camosun College,10-01-2020,University Transfer,,,,
Camosun College,04-09-2018,Indigenous Studies,2,, Hiatus ,
Vancouver Island University,05-09-2017,Bachelor of Social Work,4," $38,000.00 ", Attending ,
Okanagan College,,Animation,,,,
Douglas College,08-09-2016,Bachelor of Arts in Child and Youth Care,4," $36,000.00 ", Hiatus ,
College of New Caledonia,,Social Service Worker,,, Completed  ,
University of Northen BC,01-09-2021,Bachelor of Social Work,2," $13,014.00 ", Attending ,
Camosun College,06-09-2016,University Transfer,2,, Hiatus , Last attended 01/19 
Vancouver Island University,02-09-2014,Bachelor of Education,5," $25,000.00 ", Completed  ,
Camosun College,10-09-2018,University Transfer,,,,
Nicola Valley Institute of Technology,,Health Care Assistant,,, Completed  ,
College of New Caledonia,,Dental Assisting,,, Completed  ,
Camosun College,01-09-2020,University Transfer,2," $12,000.00 ",,
Vancouver Island University,08-09-2015,Bachelor of Arts,4," $25,000.00 ", Hiatus , Last attended Winter 2018 
College of New Caledonia,,University Studies,,, Hiatus ,
University of British Columbia,06-09-2016,Bachelor of Music,4," $32,000.00 ", Completed  , Credential received: Bachelor of Music: Orchestral Instrument 
Camosun College,07-09-2021,Associate Degree in Science,2," $12,000.00 ",,
Vancouver Island University,21-09-2020,Community Mental Health Worker/Bachelor of Arts,4," $25,000.00 ", Completed  , Community Mental Health Worker Completed/WDR F'21 
Simon Fraser University,,Bachelor of Arts,,,,
Vancouver Island University,,Bachelor of Arts,,, Completed  ,
Vancouver Island University,04-01-2016,Bachelor of Arts,4," $25,000.00 ", Hiatus , Withdrew F17 
Vancouver Island University,,Bachelor of Interior Design,,, Completed  ,
Vancouver Island University,08-09-2015,Community Mental Health Worker/Bachelor of Social Work,1," $38,000.00 ", Completed  , May return in future to continue onto Bachelor of Social Work 
Kwantlen Polytechnic University,01-09-2017,Bachelor of Arts,4," $23,500.00 ", Completed  ,
Camosun College,,,,,,
Vancouver Island University,08-09-2015,Bachelor of Arts in Sociology,4," $25,000.00 ", Completed  ,
Camosun College,01-09-2021,Associate of Arts,2," $12,000.00 ",,
Vancouver Island University,06-09-2016,Bachelor of Science in Nursing,4," $25,000.00 ", Completed  ,
BCIT,06-09-2016,General Studies   ,1," $6,140.00 ", Hiatus ,
Okanagan College,,Culinary Arts Certificate,,, Completed  ,
Vancouver Island University,,Bachelor of Science,,,,
Vancouver Island University,,Bachelor of Social Work,,, Completed  ,
Simon Fraser University,,Bachelor of Science,4,, Hiatus , Now PR 
Vancouver Island University,24-08-2020,Professional Baking,1," $6,000.00 ", Hiatus , Withdrew Spring 2021 
Vancouver Island University,06-09-2016,Exploratory Studies,4," $25,000.00 ", Attending , Est. cost assumes move to degree program 
Camosun College,04-01-2021,Sheet Metal Foundations,1," $3,775.00 ",,
Vancouver Island University,06-09-2016,Exploratory Studies,4," $25,000.00 ", Attending ,
Camosun College,06-09-2016,Arts and Science Studies,2,, Hiatus , Last attended 12/19 
Langara College,,Criminal Justice Diploma,,, Completed  ,
Vancouver Island University,05-09-2017,Exploratory Studies,4," $25,000.00 ", Attending , Practical Nursing diploma completed. Planning to continue onto Bachelor of Science in Nursing 
Vancouver Island University,05-09-2017,Unclassified,4," $25,000.00 ", Hiatus ,
Camosun College,01-09-2020,Electrical Engineering Technology,2," $16,500.00 ",,
Vancouver Island University,06-09-2016,Bachelor of Education,5," $25,000.00 ", Completed  ,
University of British Columbia Okanagan,,Bachelor of Science in Nursing,,, Completed  ,
Vancouver Island University,08-09-2015,Bachelor of Arts in Sociology,4," $25,000.00 ", Attending ,
Langara College,,Diploma Arts and Science Health Science,,, Hiatus ,
Camosun College,06-01-2020,Arts & Science,2," $9,164.00 ",,
Vancouver Island University,04-09-2014,Bachelor of Social Work,4," $38,000.00 ", Hiatus ,
BCIT,18-11-2021,Construction Operations,1,, Hiatus , Cost varies 
Douglas College,,Bachelor of Arts-Psychology,4," $24,000.00 ", Hiatus ,
Langara College,,Associate of Arts,,, Hiatus ,
Camosun College,01-05-2020,Health Care Assistant,1," $3,274.00 ",,
Vancouver Island University,,Bachelor of Natural Resource Protection,,, Completed  ,
Camosun College,05-09-2017,CFCS,2,, Attending ,
Vancouver Island University,,Automotive Service Technician,,, Completed  ,
Vancouver Island University,05-09-2017,Adventure Tourism/Practical Nursing Diploma,2," $15,000.00 ", Hiatus , Plans to pursue Bachelor of Science in Nursing F22. 
Langara College,02-01-2018,Bachelor of Business Administration in Accounting,4," $24,885.00 ", Attending ,
Camosun College,03-09-2019,Mental Health and Addictions,1,, Completed  ,
Camosun College,05-09-2017,Office Administration,1,, Completed  ,
Camosun College,19-08-2019,Sheet Metal Foundations,1,, Hiatus , Last attended 03/20 
BCIT,02-08-2022,Electrical Red Seal Refresher,1," $1,026.00 ", Attending ,
Camosun College,10-09-2018,University Transfer,,,,
Thompson Rivers University,01-03-2021,Bachelor of Arts,3," $14,100.00 ", Hiatus ,
Vancouver Island University,08-09-2015,Bachelor of Arts in Philosophy,4," $25,000.00 ", Hiatus , Last attended F20 
Vancouver Island University,05-09-2017,Bachelor of Social Work,4," $38,000.00 ", Completed  ,
Camosun College,01-01-2021,University Transfer,2," $12,000.00 ",,
Camosun College,01-05-2017,Associate Degree Arts,2,, Hiatus , Last attended 04/19 
Vancouver Island University,,Health Care Assistant,,, Completed  ,
Vancouver Island University,08-01-2018,Bachelor of Social Work,4," $38,000.00 ", Attending , Social Service Diploma complete 
Douglas College,,Associate of Arts,2,, Hiatus ,
Douglas College,,Business Management Diploma,,, Completed  ,
Thompson Rivers University,,Human Services,,,,
Camosun College,10-01-2019,,,,,
College of New Caledonia,,Early Childhood Care & Learning,,, Hiatus ,
Camosun College,08-01-2018,College Prep,,, Attending ,
Thompson Rivers University,,Vet Tech,,, Never Attended ,
Vancouver Island University,07-09-2021,Resource Management Officer Technology,2," $14,000.00 ", Never Attended ,
Nicola Valley Institute of Technology,,Associate of Arts,,, Completed  ,
Douglas College,08-09-2018,Bachelor of Arts Child and Youth Care,2," $12,000.00 ", Completed  ,
College of New Caledonia,,Natural Resources and Forest Technology,,, Completed  ,
Simon Fraser University,01-09-2017,Bachelor of Scence in Computing Science,4," $26,160.00 ", Hiatus , Discontined Studies 
Camosun College,03-09-2019,,,,,
Camosun College,,Nursing,,, Hiatus ,
University of Victoria,,Bachelor of Science in Nursing,,, Completed  ,
BCIT,,Graphic Design,,, Completed  , Completed Technical Web Designer 
Vancouver Island University,08-09-2015,Bachelor of Arts in Child and Youth Care,4," $25,000.00 ", Completed  ,
Camosun College,06-09-2016,Bachelor of Business Administration,4,, Hiatus , Last attended 10/18 
BCIT,01-09-2021,General Studies-Nursing,1," $1,900.00 ",,
University of British Columbia,08-09-2015,Unclassified Studies,,, Hiatus , Credential received: Bachelor of Science: Biology 
Camosun College,10-09-2018,,,,,
University of the Fraser Valley,,Bachelor of Business Administration,4," $23,765.00 ", Attending ,
College of New Caledonia,,University Studies,,, Hiatus ,
Douglas College,,Certificate of Scoial Service Work,,, Hiatus ,
Vancouver Community College,,Administrative Assistant,,,,
Camosun College,08-09-2020,Practical Nursing,2," $21,500.00 ",,
Douglas College,,General Studies,,, Hiatus ,
University of the Fraser Valley,01-09-2017,Bachelor of Integrated Studies,4," $23,765.00 ", Hiatus ,
Camosun College,01-09-2021,Indigenous College Prep,1," $1,450.00 ",,
Langara College,,Diploma Arts and Science General,,, Hiatus ,
Douglas College,08-09-2019,General Studeis Diploma,2," $12,000.00 ", Hiatus ,
Simon Fraser University,09-09-2020,Bachelor of Business Admnistration ,4," $20,218.00 ", Attending ,
Camosun College,01-09-2020,Athletics and Exercise Therapy,4," $62,500.00 ",,
Langara College,,Associate of Arts Creative Writing,,, Hiatus ,
Simon Fraser University,09-09-2020,Bachelor of General Studies Education,2," $13,552.00 ", Attending ,
Vancouver Island University,,Exploratory Studies,,,,
Vancouver Island University,08-09-2015,Bachelor of Education,5," $27,000.00 ", Attending ,
Langara College,,Associate of Arts,,, Hiatus ,
BCIT,,Interior Design Certificate,,, Never Attended ,
Camosun College,,,,,,
Camosun College,07-09-2021,Nursing,3," $9,500.00 ",,
Kwantlen Polytechnic University,01-09-2017,Design,4," $35,760.00 ", Hiatus ,
Okanagan College,,Marketing Cannabis in Canada Course,1, $157.00 ,,
Nicola Valley Institute of Technology,,Aboriginal Early Childhood Education,,, Never Attended ,
Douglas College,,Cashier Training,,, Completed  ,
Selkirk College,,Welding,,,,
Kwantlen Polytechnic University,,Arts,,, Hiatus ,
BCIT,06-04-2021,Critical Nursing Theory,1," $1,143.86 ", Hiatus ,
Camosun College,03-09-2019,,,,,
University of the Fraser Valley,01-09-2017,Bachelor of Science in Nursing,4," $24,122.52 ", Attending ,
BCIT,,Science and Horticulture,,, Never Attended ,
Kwantlen Polytechnic University,01-09-2017,Graphic Design,4," $25,760.00 ", Attending ,
Douglas College,,Diploma Youth Justice,,, Hiatus ,
Camosun College,08-01-2018,College Prep,1,, Hiatus ,
University of the Fraser Valley,,Social Services,2," $14,272.00 ", Completed  ,
Camosun College,07-09-2021,Criminology Diploma,2," $9,300.00 ",,
Vancouver Island University,06-09-2022,Bachelor of Social Work,2," $19,000.00 ",, NVIT Transfer 
University of the Fraser Valley,01-09-2017,B. of Arts Global Development,4," $23,765.00 ", Attending ,
Nicola Valley Institute of Technology,,Associate of Arts,,, Hiatus ,
Langara College,,Citation: Early Childhood Education,,, Completed  ,
Douglas College,01-01-2019,Criminology Diploma,2," $12,000.00 ", Attending ,
Camosun College,04-09-2018,Academic General Studies,,, Hiatus , Last attended 12/18 
Vancouver Community College,,University Transfer,,, Completed  ,
Vancouver Island University,05-09-2017,Bachelor of Arts,4," $25,000.00 ", Attending ,
Camosun College,10-01-2020,,,,,
Nicola Valley Institute of Technology,,Health Care Assistant,,, Hiatus ,
Vancouver Island University,08-09-2020,Exploratory Studies,4," $25,000.00 ", Attending ,
North Island College,,University Studies,,, Attending ,
Camosun College,02-01-2019,,,,,
Douglas College,08-09-2018,Bachelor in Applied Criminology,4," $24,000.00 ", Completed  , appears to be graduating but continuing with other courses 
Douglas College,,General Studies,,, Hiatus ,
BCIT,,Graphic Design Certificate,,, Never Attended ,
Douglas College,01-05-2019,Bachelor in Business Administration Management,4," $36,000.00 ", Attending ,
Kwantlen Polytechnic University,,Business,,, Hiatus ,
University of Victoria,,Bachelor of Arts,4," $26,668.00 ", Attending ,
Camosun College,03-09-2019,,,,,
University of the Fraser Valley,,Qualifying Studies,,,,
Douglas College,08-09-2015,BA Child and Youth Care,4," $24,000.00 ", Hiatus ,
University of the Fraser Valley,,Information Systems,,,,
Capilano University,,Arts and Science,,,,
Vancouver Community College,,Dental Receptionist Coordinator,,,,
BCIT,,Geomatics Engineering Tech Diploma,,, Completed  ,
Camosun College,,,,,,
Langara College,,Associate of Arts,,, Hiatus ,
University of the Fraser Valley,,Qualifying Studies,,,,
Camosun College,,Music Performance,,, Hiatus ,
University of Victoria,,Bachlor of Music,,, Attending ,
Langara College,,Diploma Arts and Science General,,, Hiatus ,
Langara College,,Fine Arts Diploma,,, Completed  , Transfer 
Douglas College,01-01-2018,Associate of Arts,2," $12,000.00 ", Hiatus ,
Vancouver Island University,06-01-2014,Exploratory Studies,4," $25,000.00 ", Hiatus , Withdrew F20; Est. cost assumes move to degree program 
Douglas College,08-09-2017,Commerce & Business ,2," $12,000.00 ", Hiatus ,
Camosun College,01-05-2020,Associate of Arts Degree,2," $12,500.00 ",,
Douglas College,,Business Management Diploma,,, Hiatus ,
Simon Fraser University,05-01-2021,Bachelor of Arts,4," $26,704.00 ", Attending ,
Thompson Rivers University,03-06-2020,Undeclared,4," $24,100.00 ", Hiatus ,
Nicola Valley Institute of Technology,,Office Administrator,,, Completed  ,
Douglas College,08-09-2017,Associate of Arts,2," $12,000.00 ", Hiatus ,
Camosun College,03-09-2019,,,,,
Simon Fraser University,09-09-2020,Bachelor of Arts,2," $13,352.00 ", Attending ,
BCIT,,Arts,,, Never Attended ,
Kwantlen Polytechnic University,01-09-2017,Arts,4," $23,500.00 ", Completed  ,
University of the Fraser Valley,01-09-2017,Paralegal Certificate,2," $7,525.00 ", Completed  ,
University of the Fraser Valley,,Adult Basic Education,,,,
Douglas College,,General Studies,,, Hiatus ,
University of Victoria,,Bachelor of Science,,, Attending ,
Langara College,,Associate of Arts,2," $9,335.00 ", Hiatus ,
University of British Columbia,10-05-2021,Real Estate License,1," $1,300.00 ", Completed  ,
Capilano University,09-09-2020,Bachelor of Deisgn in Visual Communications,4," $50,130.00 ",,
University of the Fraser Valley,01-09-2017,Bachelor of Science,4," $23,765.00 ", Hiatus ,
Emily Carr University of Art & Design,18-09-2001,Bachelor of Fine Arts-Visual Arts, 4 ,, Completed  ,
Langara College,,Fine Arts Diploma, 2 ," $7,100.00 ", Completed  ,
College of New Caledonia,08-09-2020,Criminology,,, Completed  ,
Langara College,,Associate of Arts,,, Hiatus ,
University of Victoria,,Bachelor of Science,,, Completed  ,
Vancouver Community College,,Fashion Arts,,,,
Camosun College,06-09-2016,Associate Degree Arts,2,, Hiatus ,
Vancouver Community College,,Automotive Foundation Program,,,,
Langara College,02-01-2018,Diploma Arts and Science General,2," $9,335.00 ", Hiatus ,
Capilano University,01-05-2020,Adult Basic Education,2," $1,600.00 ",,
Simon Fraser University,10-01-2022,Bachelor of Arts,4," $20,454.00 ",,
BCIT,02-09-2019,Business Administration Degree,2," $11,775.00 ", Completed  ,
Camosun College,06-09-2016,University Transfer,2,, Attending ,
Kwantlen Polytechnic University,,Farrier Program,,, Completed  ,
Kwantlen Polytechnic University,01-01-2018,BA Arts,4," $23,500.00 ", Attending ,
Kwantlen Polytechnic University,,Arts,,, Hiatus ,
Vancouver Island University,,Undeclared,,,,
Capilano University,01-05-2020,Adult Basic Education,2, $450.00 ,,
Capilano University,06-03-1998,,,,,
College of New Caledonia,,University Studies,,, Hiatus , Other 
Capilano University,,Business Administration,,, Hiatus ,
Camosun College,05-09-2017,University Transfer,2,, Hiatus , Last attended 12/19 
Nicola Valley Institute of Technology,04-09-2018,Access to Practical Nursing, 2 ," $10,782.00 ", Completed  ,
Camosun College,04-09-2018,University Transfer,2,, Attending ,
University of British Columbia,01-09-2018,Bachelor of Arts,4," $27,000.00 ", Attending ,
Douglas College,,Associate of Science,,, Completed  ,
Capilano University,06-09-2018,,,,,
